params: 109.5M | device: cuda
step  2320 | loss 3.8046 | lr 4.00e-04 | gnorm 0.28 | 39,430 tok/s | mfu 21.6%
step  2330 | loss 3.7966 | lr 4.00e-04 | gnorm 0.29 | 39,390 tok/s | mfu 21.6%
step  2340 | loss 3.8115 | lr 4.00e-04 | gnorm 0.27 | 39,408 tok/s | mfu 21.6%
step  2350 | loss 3.8076 | lr 4.00e-04 | gnorm 0.32 | 39,476 tok/s | mfu 21.6%
step  2360 | loss 3.8174 | lr 4.00e-04 | gnorm 0.29 | 39,462 tok/s | mfu 21.6%
step  2370 | loss 3.8376 | lr 4.00e-04 | gnorm 0.26 | 39,561 tok/s | mfu 21.7%
step  2380 | loss 3.7652 | lr 4.00e-04 | gnorm 0.30 | 39,518 tok/s | mfu 21.6%
step  2390 | loss 3.7931 | lr 4.00e-04 | gnorm 0.32 | 39,426 tok/s | mfu 21.6%
step  2400 | loss 3.7773 | lr 4.00e-04 | gnorm 0.27 | 39,408 tok/s | mfu 21.6%
step  2410 | loss 3.7897 | lr 4.00e-04 | gnorm 0.26 | 39,394 tok/s | mfu 21.6%
step  2420 | loss 3.7590 | lr 4.00e-04 | gnorm 0.31 | 39,443 tok/s | mfu 21.6%
step  2430 | loss 3.7762 | lr 4.00e-04 | gnorm 0.31 | 39,446 tok/s | mfu 21.6%
step  2440 | loss 3.7479 | lr 4.00e-04 | gnorm 0.29 | 39,506 tok/s | mfu 21.6%
step  2450 | loss 3.8140 | lr 4.00e-04 | gnorm 0.31 | 39,414 tok/s | mfu 21.6%
step  2460 | loss 3.8052 | lr 4.00e-04 | gnorm 0.27 | 39,483 tok/s | mfu 21.6%
step  2470 | loss 3.7988 | lr 4.00e-04 | gnorm 0.47 | 39,427 tok/s | mfu 21.6%
step  2480 | loss 3.8182 | lr 4.00e-04 | gnorm 0.27 | 39,420 tok/s | mfu 21.6%
step  2490 | loss 3.7368 | lr 4.00e-04 | gnorm 0.26 | 39,424 tok/s | mfu 21.6%
step  2500 | loss 3.7266 | lr 4.00e-04 | gnorm 0.25 | 39,433 tok/s | mfu 21.6%
step  2510 | loss 3.7451 | lr 4.00e-04 | gnorm 0.29 | 39,588 tok/s | mfu 21.7%
